city_data_df Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Batticaloa,LK,76.64,overcast clouds,7.7102,81.6924,Lake View Hotel
9,Rikitea,PF,76.37,few clouds,-23.1203,-134.9692,Chez Bianca & Benoit
12,Hilo,US,78.53,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
19,Leeds,US,73.35,overcast clouds,33.5482,-86.5444,Hampton Inn
25,Puerto El Triunfo,SV,81.52,clear sky,13.2833,-88.55,Motel Jardín
27,Kavieng,PG,82.98,overcast clouds,-2.5744,150.7967,Kavieng Hotel
32,Chui,UY,80.78,few clouds,-33.6971,-53.4616,Alerces
36,Natal,BR,81.25,few clouds,-5.795,-35.2094,Natal Palace Hotel
39,Cidreira,BR,73.02,clear sky,-30.1811,-50.2056,Hotel Castelo
40,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti International Resort
41,Cochabamba,BO,78.55,broken clouds,-17.3895,-66.1568,Hotel Monserrat
45,Souillac,MU,77.38,light rain,-20.5167,57.5167,Hotel SkylineInn
46,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
49,Kroya,ID,77.56,broken clouds,-7.6331,109.2461,Setia Hotel
63,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
72,Georgetown,SH,76.37,broken clouds,-7.9333,-14.4167,Obsidian Hotel
77,Port Elizabeth,ZA,71.1,overcast clouds,-33.918,25.5701,Waterford Hotel
90,Daru,PG,78.42,overcast clouds,-9.0763,143.2092,Kuki
91,San Patricio,MX,84.31,scattered clouds,19.2167,-104.7,Sueño del Sol
92,Montes Claros,BR,74.98,few clouds,-16.735,-43.8617,Hotel Alvorada
96,Kapaa,US,80.92,overcast clouds,22.0752,-159.319,Pono Kai Resort
100,Hirara,JP,71.87,scattered clouds,24.8,125.2833,古謝そば屋
110,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Comfort Rooms
114,Touros,BR,79.21,broken clouds,-5.1989,-35.4608,Pousada Atlântico
116,Rio Grande,BR,82.51,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
117,Namatanai,PG,81.7,broken clouds,-3.6667,152.4333,Namatanai Hotel
119,Atuona,PF,77.16,scattered clouds,-9.8,-139.0333,Pearl Resort
122,Mar del Plata,AR,72.09,light rain,-38.0023,-57.5575,Nuevo Ostende
129,Jacmel,HT,78.64,scattered clouds,18.2342,-72.5347,Hotel L'Amenitie
131,Palmas,BR,76.87,broken clouds,-10.2128,-48.3603,Hotel Triângulo Mineiro
142,San Cristobal,EC,75.31,few clouds,-0.9045,-89.6174,ChatMan
143,Bengkulu,ID,73.96,overcast clouds,-3.8004,102.2655,Dena Hotel
146,Eyl,SO,75.9,overcast clouds,7.9803,49.8164,فندق ايل دابي
150,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Aurora Alice Springs
152,Mahébourg,MU,77.29,light rain,-20.4081,57.7,Grand Bel Air
155,Manaure,CO,80.19,overcast clouds,11.7751,-72.4445,hotel palaima
156,Faanui,PF,79.99,broken clouds,-16.4833,-151.75,Oa Oa Lodge
160,Hithadhoo,MV,81.81,overcast clouds,-0.6,73.0833,Pebbles Inn
166,Weligama,LK,76.82,moderate rain,5.9667,80.4167,Basecamp
167,Mandera,KE,85.41,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
171,Richards Bay,ZA,73.02,few clouds,-28.783,32.0377,Protea Hotel
182,Lázaro Cárdenas,MX,82.53,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
184,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Horisun
194,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Hotel Savoy
198,São Filipe,CV,76.86,clear sky,14.8961,-24.4956,Bela Vista
200,Victoria,SC,78.06,few clouds,-4.6167,55.45,Hilltop Boutique Hotel
202,Puerto Cabezas,NI,80.56,broken clouds,14.0351,-83.3888,Hotel Caribe
206,Itarema,BR,79.54,broken clouds,-2.9248,-39.9167,Pousada Oásis
209,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue
215,Martaban,MM,74.32,clear sky,16.5314,97.6111,မော်​လ​မြိုင် ဟိုတယ်
224,Bucerías,MX,81.99,clear sky,20.75,-105.3333,Royal Decameron Complex
225,Avarua,CK,75.25,heavy intensity rain,-21.2078,-159.775,Paradise Inn
230,Constitucion,MX,76.66,clear sky,23.9912,-104.6749,Hotel Roma
233,Broome,AU,80.55,scattered clouds,-17.9667,122.2333,Broome Oaks Hotel
235,Praia,CV,73.94,few clouds,14.9215,-23.5087,Casa Sodadi
238,Mitsamiouli,KM,80.28,few clouds,-11.3847,43.2844,Hotel le Paradis
245,Sorong,ID,78.96,light rain,-0.8833,131.25,Hotel Membramo Marina
249,Key West,US,84.2,clear sky,24.5557,-81.7826,Harborside Hotel & Marina
252,Bowen,AU,80.37,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
253,Bathsheba,BB,77.05,few clouds,13.2167,-59.5167,Atlantis Hotel
254,São João da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
256,Santa Cruz Cabrália,BR,75.43,scattered clouds,-16.2781,-39.0247,Campo Bahia Resort
259,Tual,ID,82.4,overcast clouds,-5.6667,132.75,Suita
264,San Luis,AR,76.66,scattered clouds,-33.295,-66.3356,Hotel Dos Venados
267,Sur,OM,75.67,clear sky,22.5667,59.5289,Sur Hotel
268,Progreso,MX,86.11,few clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
