City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aklavik,CA,68.2191,-135.0107,-13.0,77,100,8.05,overcast clouds
1,Singleton,AU,-32.5667,151.1833,64.33,58,97,7.27,overcast clouds
2,Manavālakurichi,IN,8.1333,77.3,77.32,74,100,12.33,overcast clouds
3,Ust-Kuyga,RU,70.0167,135.6,-46.41,100,67,1.7,broken clouds
4,Batticaloa,LK,7.7102,81.6924,76.64,77,100,4.97,overcast clouds
5,Sevsk,RU,52.1491,34.4926,32.83,99,100,4.47,overcast clouds
6,Saint Paul Harbor,US,57.79,-152.4072,29.71,40,0,11.5,clear sky
7,Dawson Creek,CA,55.7666,-120.2362,28.04,54,0,6.91,clear sky
8,Clyde River,CA,70.4692,-68.5914,3.43,85,100,13.8,light snow
9,Rikitea,PF,-23.1203,-134.9692,76.37,78,13,16.53,few clouds
10,Busselton,AU,-33.65,115.3333,53.26,75,50,6.76,scattered clouds
11,Timmins,CA,48.4669,-81.3331,6.62,78,20,5.75,few clouds
12,Hilo,US,19.7297,-155.09,78.53,69,75,5.01,broken clouds
13,Grindavik,IS,63.8424,-22.4338,32.47,69,2,13.8,clear sky
14,Provideniya,RU,64.3833,-173.3,21.87,85,92,8.21,overcast clouds
15,Ribeira Grande,PT,38.5167,-28.7,62.78,95,100,34.0,moderate rain
16,Sitka,US,57.0531,-135.33,37.29,75,75,4.61,light rain
17,Wanxian,CN,30.8039,108.3897,50.52,74,88,1.36,overcast clouds
18,Coquimbo,CL,-29.9533,-71.3436,65.93,88,75,11.5,broken clouds
19,Leeds,US,33.5482,-86.5444,73.35,88,100,11.5,overcast clouds
20,Barrow,US,71.2906,-156.7887,10.42,85,100,12.66,overcast clouds
21,Evensk,RU,61.95,159.2333,3.92,89,100,9.15,overcast clouds
22,Huarmey,PE,-10.0681,-78.1522,69.73,78,48,9.19,scattered clouds
23,Te Anau,NZ,-45.4167,167.7167,60.49,63,76,3.02,broken clouds
24,Praia da Vitória,PT,38.7333,-27.0667,60.76,94,75,29.62,moderate rain
25,Puerto El Triunfo,SV,13.2833,-88.55,81.52,63,2,6.26,clear sky
26,Ushuaia,AR,-54.8,-68.3,49.66,57,40,19.57,scattered clouds
27,Kavieng,PG,-2.5744,150.7967,82.98,74,100,8.99,overcast clouds
28,Pevek,RU,69.7008,170.3133,6.28,95,100,10.0,light snow
