City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-12-06 20:35:55,-46.1927,168.8643,52.48,55,1,8.52
1,Woodstock,CA,2022-12-06 20:35:55,43.1334,-80.7497,42.89,91,100,4.9
2,Chernyshevskiy,RU,2022-12-06 20:35:55,63.0128,112.4714,8.83,93,100,11.03
3,Fort Nelson,CA,2022-12-06 20:35:56,58.8053,-122.7002,-24.21,69,75,0.0
4,Punta Arenas,CL,2022-12-06 20:32:27,-53.15,-70.9167,48.31,46,20,29.93
5,Vogan,TG,2022-12-06 20:35:57,6.3333,1.5333,82.22,84,89,9.51
6,Hilo,US,2022-12-06 20:34:37,19.7297,-155.09,76.24,94,100,5.75
7,Ushuaia,AR,2022-12-06 20:35:57,-54.8,-68.3,44.26,61,75,29.93
8,Qaanaaq,GL,2022-12-06 20:35:58,77.484,-69.3632,30.38,74,100,9.24
9,Atar,MR,2022-12-06 20:35:58,20.5169,-13.0499,79.86,27,0,6.31
10,Busselton,AU,2022-12-06 20:35:59,-33.65,115.3333,52.79,85,14,13.22
11,Rikitea,PF,2022-12-06 20:34:20,-23.1203,-134.9692,75.18,76,11,15.66
12,Rocha,UY,2022-12-06 20:36:00,-34.4833,-54.3333,82.74,32,0,11.81
13,Ust-Kuyga,RU,2022-12-06 20:36:01,70.0167,135.6,-39.24,100,59,1.97
14,Carnarvon,AU,2022-12-06 20:36:02,-24.8667,113.6333,69.48,77,58,15.21
15,Kyren,RU,2022-12-06 20:36:03,51.6828,102.1408,8.51,88,100,0.89
16,Bud,US,2022-12-06 20:36:06,39.447,-86.1758,51.75,89,100,4.52
17,Albany,US,2022-12-06 20:31:23,42.6001,-73.9662,52.39,90,100,6.26
18,Ridge,US,2022-12-06 20:31:56,40.894,-72.8959,57.6,86,100,9.22
19,Kavieng,PG,2022-12-06 20:36:10,-2.5744,150.7967,81.25,78,92,7.96
20,Bethel,US,2022-12-06 20:36:12,41.3712,-73.414,55.49,82,100,5.75
21,Kapaa,US,2022-12-06 20:34:20,22.0752,-159.319,80.92,86,75,11.5
22,Coxim,BR,2022-12-06 20:36:16,-18.5067,-54.76,90.18,44,96,4.54
23,Norman Wells,CA,2022-12-06 20:36:18,65.282,-126.8329,-21.96,69,75,4.61
24,Iqaluit,CA,2022-12-06 20:36:19,63.7506,-68.5145,15.53,72,20,23.02
25,Castro,BR,2022-12-06 20:36:20,-24.7911,-50.0119,70.68,92,32,4.29
26,New Norfolk,AU,2022-12-06 20:36:21,-42.7826,147.0587,47.7,78,95,2.68
27,Kant,IN,2022-12-06 20:36:23,27.8,79.8,56.95,39,0,6.69
28,Narsaq,GL,2022-12-06 20:36:24,60.9167,-46.05,35.82,99,100,5.79
29,Puerto Ayora,EC,2022-12-06 20:36:25,-0.7393,-90.3518,76.96,84,54,7.0
30,Tasiilaq,GL,2022-12-06 20:36:26,65.6145,-37.6368,26.76,63,17,11.74
31,Pacific Grove,US,2022-12-06 20:36:28,36.6177,-121.9166,54.43,76,75,14.97
32,Lukovo,MK,2022-12-06 20:36:29,41.3494,20.6047,40.59,87,100,1.74
33,Pevek,RU,2022-12-06 20:36:30,69.7008,170.3133,9.25,96,100,5.21
34,Kushima,JP,2022-12-06 20:36:31,31.4583,131.2333,38.03,75,33,7.94
35,Carballo,ES,2022-12-06 20:36:31,43.213,-8.691,54.91,92,100,1.21
36,Arlit,NE,2022-12-06 20:36:32,18.7369,7.3853,77.18,15,48,8.84
37,Cape Town,ZA,2022-12-06 20:35:01,-33.9258,18.4232,65.08,60,0,6.91
38,Codrington,AU,2022-12-06 20:36:33,-38.2667,141.9667,55.87,80,36,8.08
39,Dikson,RU,2022-12-06 20:36:33,73.5069,80.5464,4.68,97,77,11.14
40,Altay,CN,2022-12-06 20:36:34,47.8667,88.1167,1.09,78,46,6.64
41,Cherskiy,RU,2022-12-06 20:33:16,68.75,161.3,-16.96,97,100,8.86
42,Victoria,HK,2022-12-06 20:33:47,22.2855,114.1577,63.32,77,7,11.01
43,Bluff,NZ,2022-12-06 20:36:36,-46.6,168.3333,52.81,59,1,16.64
44,Talara,PE,2022-12-06 20:36:37,-4.5772,-81.2719,79.56,53,0,13.8
45,Ponta Do Sol,PT,2022-12-06 20:36:38,32.6667,-17.1,69.01,94,100,14.12
46,Christchurch,NZ,2022-12-06 20:33:22,-43.5333,172.6333,55.9,73,100,2.3
47,Kodiak,US,2022-12-06 20:34:07,57.79,-152.4072,38.71,75,0,13.8
48,Gari,RU,2022-12-06 20:37:40,59.4307,62.3497,1.4,97,25,5.86
49,Bengkulu,ID,2022-12-06 20:37:41,-3.8004,102.2655,75.27,87,100,3.8
50,Hobart,AU,2022-12-06 20:32:50,-42.8794,147.3294,48.06,85,20,13.8
51,Zacualpan,MX,2022-12-06 20:37:42,21.25,-105.1667,96.42,65,23,5.32
52,Rio De Janeiro,BR,2022-12-06 20:35:30,-22.9028,-43.2075,78.8,81,100,5.75
53,Port Macquarie,AU,2022-12-06 20:37:43,-31.4333,152.9167,69.89,77,28,4.7
54,Sao Jose Da Coroa Grande,BR,2022-12-06 20:37:43,-8.8978,-35.1478,77.77,78,76,5.19
55,Yellowknife,CA,2022-12-06 20:37:44,62.456,-114.3525,-24.45,68,20,4.61
56,Kyaikto,MM,2022-12-06 20:37:44,17.3,97.0167,76.39,80,100,3.49
57,Tuktoyaktuk,CA,2022-12-06 20:37:45,69.4541,-133.0374,-16.6,69,75,17.27
58,Niquero,CU,2022-12-06 20:37:45,20.0431,-77.5828,83.93,52,3,15.43
59,Comodoro Rivadavia,AR,2022-12-06 20:37:46,-45.8667,-67.5,73.26,18,20,23.02
60,Terrace,CA,2022-12-06 20:32:48,54.5163,-128.6035,21.11,73,100,2.3
61,Ixtapa,MX,2022-12-06 20:37:46,20.7,-105.2,82.22,65,0,9.22
62,Jamestown,US,2022-12-06 20:37:47,42.097,-79.2353,45.99,74,100,5.75
63,Kuruman,ZA,2022-12-06 20:37:47,-27.4524,23.4325,63.0,13,34,11.25
64,Georgetown,MY,2022-12-06 20:33:49,5.4112,100.3354,76.98,92,40,6.91
65,Hermanus,ZA,2022-12-06 20:37:48,-34.4187,19.2345,57.79,63,22,0.56
66,Kalianget,ID,2022-12-06 20:37:49,-7.05,113.9333,79.48,77,91,3.06
67,Sinnar,SD,2022-12-06 20:37:49,13.5691,33.5672,76.42,35,0,12.41
68,Chuy,UY,2022-12-06 20:37:50,-33.6971,-53.4616,74.26,63,0,10.0
